,,0,1,2,3
3,6,1709964619.162865,1709964619.8916092,1709964619.891671,1709964619.194709
3,7,1709964619.194709,1709964619.926223,1709964619.926285,1709964619.2281737
4,0,1709964739.0003343,1709964739.9690895,1709964739.9691792,1709964739.0156872
4,1,1709964739.0156872,1709964739.9987233,1709964739.9987857,1709964739.0469482
4,2,1709964739.0469482,1709964740.0274649,1709964740.0275276,1709964739.0779161
4,3,1709964739.0779161,1709964740.0602553,1709964740.0603178,1709964739.4280818
4,4,1709964739.4301906,1709964740.3992362,1709964740.3992987,1709964739.478924
4,5,1709964739.478924,1709964740.448819,1709964740.4488814,1709964739.5263233
4,6,1709964739.5263233,1709964740.5976205,1709964740.5976837,1709964739.6609242
4,7,1709964739.6771696,1709964740.6505108,1709964740.6505733,1709964739.7083082
5,0,1709964860.0000966,1709964860.709613,1709964860.7097044,1709964860.0290613
5,1,1709964860.0290613,1709964860.737407,1709964860.7374692,1709964860.0580661
5,2,1709964860.058951,1709964860.769407,1709964860.7694693,1709964860.0775838
5,3,1709964860.0932176,1709964860.8030033,1709964860.8030653,1709964860.1090326
5,4,1709964860.1244636,1709964860.8349137,1709964860.834976,1709964860.1403298
5,5,1709964860.1403298,1709964860.8624883,1709964860.8625503,1709964860.1815422
5,6,1709964860.1815422,1709964860.8891037,1709964860.8891656,1709964860.2094696
5,7,1709964860.2105014,1709964860.9196067,1709964860.919669,1709964860.2417295
6,0,1709964980.0002217,1709964980.9672673,1709964980.9673452,1709964980.034706
6,1,1709964980.034706,1709964981.0015798,1709964981.0016413,1709964980.0658376
6,2,1709964980.0658376,1709964981.0322156,1709964981.0322776,1709964980.0814676
6,3,1709964980.0814676,1709964981.0583956,1709964981.0584579,1709964980.112815
6,4,1709964980.112815,1709964981.086787,1709964981.0868495,1709964980.159586
6,5,1709964980.159586,1709964981.1270115,1709964981.1270733,1709964980.1909573
6,6,1709964980.1909573,1709964981.1534534,1709964981.153515,1709964980.206563
6,7,1709964980.206563,1709964981.1805773,1709964981.1806395,1709964980.2377148
7,0,1709965101.0000997,1709965101.231206,1709965101.231289,1709965101.027388
7,1,1709965101.027388,1709965101.2583928,1709965101.2584553,1709965101.058819
7,2,1709965101.058819,1709965101.2993944,1709965101.2994568,1709965101.0966656
7,3,1709965101.0966656,1709965101.3289874,1709965101.3290496,1709965101.1290102
7,4,1709965101.1440175,1709965101.366589,1709965101.3666515,1709965101.1597958
7,5,1709965101.1597958,1709965101.3937714,1709965101.3938336,1709965101.192951
7,6,1709965101.192951,1709965101.4209836,1709965101.4210463,1709965101.2245042
7,7,1709965101.2253711,1709965101.4490616,1709965101.4491239,1709965101.2392128
8,0,1709965221.0008252,1709965221.4922762,1709965221.4923513,1709965221.0261397
8,1,1709965221.0261397,1709965221.5234613,1709965221.5235233,1709965221.0574698
8,2,1709965221.0574698,1709965221.5510652,1709965221.5511272,1709965221.0835092
8,3,1709965221.0835092,1709965221.5787253,1709965221.5787873,1709965221.114514
8,4,1709965221.114514,1709965221.605067,1709965221.6051292,1709965221.1292217
8,5,1709965221.1292217,1709965221.6327357,1709965221.632798,1709965221.171964
8,6,1709965221.171964,1709965221.6614835,1709965221.661546,1709965221.197078
8,7,1709965221.197078,1709965221.6872637,1709965221.687326,1709965221.245425
9,0,1709965341.0006895,1709965341.765861,1709965341.765937,1709965341.1712499
9,1,1709965341.1712499,1709965341.9274828,1709965341.9275446,1709965341.2181282
9,2,1709965341.2181282,1709965341.971091,1709965341.9711528,1709965341.249925
9,3,1709965341.249925,1709965342.0066419,1709965342.0067048,1709965341.3765764
9,4,1709965341.3765764,1709965342.128853,1709965342.1289158,1709965341.4078329
9,5,1709965341.4078329,1709965342.1720583,1709965342.1721208,1709965341.566273
9,6,1709965341.566273,1709965342.3207073,1709965342.3207698,1709965341.5983045
9,7,1709965341.5983045,1709965342.3542454,1709965342.354308,1709965341.645757
10,0,1709965462.0006373,1709965462.42136,1709965462.4214466,1709965462.0162466
10,1,1709965462.0162466,1709965462.4489512,1709965462.4490135,1709965462.047679
10,2,1709965462.047679,1709965462.4766045,1709965462.4766667,1709965462.0789475
10,3,1709965462.0789475,1709965462.504193,1709965462.504255,1709965462.110197
10,4,1709965462.110197,1709965462.5324626,1709965462.532525,1709965462.141279
10,5,1709965462.141279,1709965462.5675454,1709965462.5676076,1709965462.1726923
10,6,1709965462.1726923,1709965462.5948236,1709965462.5949035,1709965462.188299
10,7,1709965462.2037773,1709965462.6259453,1709965462.6260083,1709965462.2194102
11,0,1709965582.0011365,1709965582.6725912,1709965582.6726797,1709965582.029609
11,1,1709965582.029609,1709965582.7057822,1709965582.7058442,1709965582.0608919
11,2,1709965582.0608919,1709965582.7345772,1709965582.7346392,1709965582.076436
11,3,1709965582.076436,1709965582.7617817,1709965582.7618432,1709965582.107658
11,4,1709965582.107658,1709965582.7923841,1709965582.7924466,1709965582.1390843
11,5,1709965582.1390843,1709965582.8353841,1709965582.8354454,1709965582.1856358
